long,lat
-100.137931034,40.5172413793
-100.137931034,40.724137931
-100.137931034,40.9310344828
-100.137931034,41.1379310345
-100.137931034,41.3448275862
-100.137931034,41.5517241379
-100.137931034,41.7586206897
-100.137931034,41.9655172414
-100.137931034,42.1724137931
-100.137931034,42.3793103448
-100.137931034,42.5862068966
-100.137931034,42.7931034483
-100.137931034,43.0
-99.9310344828,37.0
-99.9310344828,37.2068965517
-99.9310344828,37.4137931034
-99.9310344828,37.6206896552
-99.9310344828,37.8275862069
-99.9310344828,38.0344827586
-99.9310344828,38.2413793103
-99.9310344828,38.4482758621
-99.9310344828,38.6551724138
-99.9310344828,38.8620689655
-99.9310344828,39.0689655172
-99.9310344828,39.275862069
-99.9310344828,39.4827586207
-99.9310344828,39.6896551724
-99.9310344828,39.8965517241
-99.9310344828,40.1034482759
-99.9310344828,40.3103448276
-99.9310344828,40.5172413793
-99.9310344828,40.724137931
-99.9310344828,40.9310344828
-99.9310344828,41.1379310345
-99.9310344828,41.3448275862
-99.9310344828,41.5517241379
-99.9310344828,41.7586206897
-99.9310344828,41.9655172414
-99.9310344828,42.1724137931
-99.9310344828,42.3793103448
-99.9310344828,42.5862068966
-99.9310344828,42.7931034483
-99.9310344828,43.0
-99.724137931,37.0
-99.724137931,37.2068965517
-99.724137931,37.4137931034
-99.724137931,37.6206896552
-99.724137931,37.8275862069
-99.724137931,38.0344827586
-99.724137931,38.2413793103
-99.724137931,38.4482758621
-99.724137931,38.6551724138
-99.724137931,38.8620689655
-99.724137931,39.0689655172
-99.724137931,39.275862069
-99.724137931,39.4827586207
-99.724137931,39.6896551724
-99.724137931,39.8965517241
-99.724137931,40.1034482759
-99.724137931,40.3103448276
-99.724137931,40.5172413793
-99.724137931,40.724137931
-99.724137931,40.9310344828
-99.724137931,41.1379310345
-99.724137931,41.3448275862
-99.724137931,41.5517241379
-99.724137931,41.7586206897
-99.724137931,41.9655172414
-99.724137931,42.1724137931
-99.724137931,42.3793103448
-99.724137931,42.5862068966
-99.724137931,42.7931034483
-99.724137931,43.0
-99.5172413793,37.0
-99.5172413793,37.2068965517
-99.5172413793,37.4137931034
-99.5172413793,37.6206896552
-99.5172413793,37.8275862069
-99.5172413793,38.0344827586
-99.5172413793,38.2413793103
-99.5172413793,38.4482758621
-99.5172413793,38.6551724138
-99.5172413793,38.8620689655
-99.5172413793,39.0689655172
-99.5172413793,39.275862069
-99.5172413793,39.4827586207
-99.5172413793,39.6896551724
-99.5172413793,39.8965517241
-99.5172413793,40.1034482759
-99.5172413793,40.3103448276
-99.5172413793,40.5172413793
-99.5172413793,40.724137931
-99.5172413793,40.9310344828
